ds,y
1/10/13,2649
1/10/13,1326
1/10/13,1449
1/10/13,1422
1/10/13,1487
1/10/13,2545
1/10/13,1942
1/10/13,925
1/10/13,2274
1/10/13,1121
1/10/13,877
1/10/13,1423
1/10/13,1317
1/10/13,889
1/10/13,1141
1/10/13,1219
1/10/13,960
1/10/13,1024
1/10/13,2226
1/10/13,632
1/10/13,710
1/10/13,900
1/10/13,700
1/10/13,693
1/10/13,1001
1/10/13,603
1/10/13,868
1/10/13,2079
1/10/13,553
1/10/13,1323
1/10/13,1323
1/10/13,1209
1/10/13,944
1/10/13,649
1/10/13,967
1/10/13,3323
1/10/13,2697
1/10/13,2627
1/10/13,2982
1/10/13,2212
1/10/13,1481
1/10/13,2052
1/10/13,1515
1/10/13,684
1/11/13,1813
1/11/13,1786
1/11/13,2954
1/11/13,1398
1/11/13,1446
1/11/13,1563
1/11/13,1497
1/11/13,2858
1/11/13,1750
1/11/13,877
1/11/13,2053
1/11/13,1072
1/11/13,825
1/11/13,1412
1/11/13,1168
1/11/13,912
1/11/13,986
1/11/13,1221
1/11/13,999
1/11/13,1046
1/11/13,2350
1/11/13,979
1/11/13,725
1/11/13,856
1/11/13,618
1/11/13,623
1/11/13,1011
1/11/13,641
1/11/13,893
1/11/13,2407
1/11/13,538
1/11/13,1447
1/11/13,1557
1/11/13,1163
1/11/13,970
1/11/13,686
1/11/13,1264
1/11/13,3873
1/11/13,3083
1/11/13,2892
1/11/13,3312
1/11/13,2396
1/11/13,1768
1/11/13,2226
1/11/13,1658
1/11/13,766
1/12/13,1473
1/12/13,1998
1/12/13,3407
1/12/13,1543
1/12/13,1553
1/12/13,2020
1/12/13,1416
1/12/13,2936
1/12/13,2271
1/12/13,1120
1/12/13,2603
1/12/13,1241
1/12/13,1179
1/12/13,1939
1/12/13,1396
1/12/13,1045
1/12/13,1385
1/12/13,1217
1/12/13,1521
1/12/13,1208
1/12/13,2346
1/12/13,1368
1/12/13,907
1/12/13,1330
1/12/13,890
1/12/13,702
1/12/13,1262
1/12/13,822
1/12/13,1108
1/12/13,2591
1/12/13,750
1/12/13,1622
1/12/13,2142
1/12/13,1518
1/12/13,1039
1/12/13,861
1/12/13,1142
1/12/13,4423
1/12/13,3927
1/12/13,4263
1/12/13,4278
1/12/13,3355
1/12/13,2309
1/12/13,3258
1/12/13,1873
1/12/13,954
1/13/13,542
1/13/13,1988
1/13/13,3217
1/13/13,1873
1/13/13,1510
1/13/13,2219
1/13/13,1328
1/13/13,2765
1/13/13,2457
1/13/13,1013
1/13/13,2875
1/13/13,1166
1/13/13,858
1/13/13,1317
1/13/13,1122
1/13/13,1260
1/13/13,1441
1/13/13,1376
1/13/13,1269
1/13/13,1187
1/13/13,2001
1/13/13,748
1/13/13,963
1/13/13,1575
1/13/13,1197
1/13/13,686
1/13/13,1467
1/13/13,753
1/13/13,1207
1/13/13,2381
1/13/13,657
1/13/13,1210
1/13/13,2256
1/13/13,1630
1/13/13,1048
1/13/13,1120
1/13/13,1145
1/13/13,4676
1/13/13,4345
1/13/13,4713
1/13/13,4796
1/13/13,3993
1/13/13,2662
1/13/13,3261
1/13/13,1808
1/13/13,1225
1/14/13,1780
1/14/13,1713
1/14/13,2785
1/14/13,1321
1/14/13,1457
1/14/13,1545
1/14/13,1629
1/14/13,2622
1/14/13,2009
1/14/13,1000
1/14/13,2056
1/14/13,1147
1/14/13,869
1/14/13,1700
1/14/13,1368
1/14/13,977
1/14/13,1209
1/14/13,1314
1/14/13,1115
1/14/13,1138
1/14/13,2341
1/14/13,664
1/14/13,758
1/14/13,1005
1/14/13,754
1/14/13,690
1/14/13,1181
1/14/13,644
1/14/13,1008
1/14/13,2246
1/14/13,579
1/14/13,1305
1/14/13,1502
1/14/13,1248
1/14/13,1109
1/14/13,739
1/14/13,1091
1/14/13,3450
1/14/13,2937
1/14/13,2780
1/14/13,3145
1/14/13,2223
1/14/13,1525
1/14/13,2150
1/14/13,1491
1/14/13,759
1/15/13,1680
1/15/13,1806
1/15/13,2757
1/15/13,1385
1/15/13,1450
1/15/13,1619
1/15/13,1603
1/15/13,2558
1/15/13,2163
1/15/13,1070
1/15/13,2152
1/15/13,1180
1/15/13,871
1/15/13,1554
1/15/13,1319
1/15/13,1001
1/15/13,1216
1/15/13,1350
1/15/13,1042
1/15/13,1075
1/15/13,2338
1/15/13,644
1/15/13,787
1/15/13,953
1/15/13,846
1/15/13,754
1/15/13,1184
1/15/13,683
1/15/13,1062
1/15/13,2285
1/15/13,619
1/15/13,1406
1/15/13,1395
1/15/13,1318
1/15/13,1153
1/15/13,693
1/15/13,1123
1/15/13,3527
1/15/13,3016
1/15/13,2973
1/15/13,3305
1/15/13,2275
1/15/13,1571
1/15/13,2001
1/15/13,1604
1/15/13,768
1/16/13,1933
1/16/13,1988
1/16/13,3108
1/16/13,1557
1/16/13,1461
1/16/13,1677
1/16/13,1619
1/16/13,2820
1/16/13,1981
1/16/13,973
1/16/13,2060
1/16/13,1068
1/16/13,767
1/16/13,1406
1/16/13,1222
1/16/13,782
1/16/13,1127
1/16/13,1313
1/16/13,986
1/16/13,1124
1/16/13,2555
1/16/13,775
1/16/13,786
1/16/13,1070
1/16/13,678
1/16/13,678
1/16/13,1096
1/16/13,648
1/16/13,1010
1/16/13,2218
1/16/13,597
1/16/13,1495
1/16/13,1483
1/16/13,1047
1/16/13,978
1/16/13,736
1/16/13,1037
1/16/13,4026
1/16/13,3183
1/16/13,3034
1/16/13,3406
1/16/13,2343
1/16/13,1780
1/16/13,2302
1/16/13,1852
1/16/13,686
1/17/13,1786
1/17/13,1672
1/17/13,2653
1/17/13,1296
1/17/13,1458
1/17/13,1547
1/17/13,1565
1/17/13,2591
1/17/13,1932
1/17/13,960
1/17/13,2167
1/17/13,1186
1/17/13,794
1/17/13,1420
1/17/13,1274
1/17/13,973
1/17/13,1128
1/17/13,1249
1/17/13,977
1/17/13,1089
1/17/13,2557
1/17/13,640
1/17/13,818
1/17/13,1037
1/17/13,820
1/17/13,790
1/17/13,1161
1/17/13,726
1/17/13,961
1/17/13,2315
1/17/13,555
1/17/13,1258
1/17/13,1342
1/17/13,1194
1/17/13,942
1/17/13,728
1/17/13,1011
1/17/13,3412
1/17/13,2773
1/17/13,2807
1/17/13,3217
1/17/13,2234
1/17/13,1568
1/17/13,2012
1/17/13,1551
1/17/13,727
1/18/13,1745
1/18/13,1901
1/18/13,2936
1/18/13,1493
1/18/13,1378
1/18/13,1548
1/18/13,1749
1/18/13,2766
1/18/13,1639
1/18/13,852
1/18/13,2133
1/18/13,1039
1/18/13,803
1/18/13,1305
1/18/13,1157
1/18/13,906
1/18/13,1035
1/18/13,1209
1/18/13,923
1/18/13,1071
1/18/13,2559
1/18/13,971
1/18/13,822
1/18/13,1034
1/18/13,709
1/18/13,696
1/18/13,1044
1/18/13,619
1/18/13,860
1/18/13,2510
1/18/13,519
1/18/13,1458
1/18/13,1591
1/18/13,1162
1/18/13,944
1/18/13,727
1/18/13,1323
1/18/13,3801
1/18/13,3263
1/18/13,2907
1/18/13,3302
1/18/13,2341
1/18/13,1804
1/18/13,2242
1/18/13,1796
1/18/13,779
1/19/13,1389
1/19/13,2043
1/19/13,3453
1/19/13,1705
1/19/13,1517
1/19/13,2132
1/19/13,1581
1/19/13,2944
1/19/13,2336
1/19/13,1372
1/19/13,2569
1/19/13,1319
1/19/13,1140
1/19/13,2031
1/19/13,1390
1/19/13,1022
1/19/13,1440
1/19/13,1362
1/19/13,1735
1/19/13,1231
1/19/13,2487
1/19/13,1494
1/19/13,961
1/19/13,1382
1/19/13,996
1/19/13,715
1/19/13,1386
1/19/13,770
1/19/13,1201
1/19/13,2695
1/19/13,816
1/19/13,1630
1/19/13,2154
1/19/13,1633
1/19/13,1034
1/19/13,952
1/19/13,1127
1/19/13,4656
1/19/13,3984
1/19/13,4372
1/19/13,4377
1/19/13,3392
1/19/13,2469
1/19/13,3426
1/19/13,1830
1/19/13,908
1/20/13,507
1/20/13,2006
1/20/13,3466
1/20/13,1742
1/20/13,1596
1/20/13,2202
1/20/13,1368
1/20/13,2755
1/20/13,2427
1/20/13,1162
1/20/13,2597
1/20/13,1211
1/20/13,947
1/20/13,1333
1/20/13,1110
1/20/13,1184
1/20/13,1419
1/20/13,1347
1/20/13,1142
1/20/13,1099
1/20/13,1908
1/20/13,816
1/20/13,986
1/20/13,1515
1/20/13,1179
1/20/13,616
1/20/13,1389
1/20/13,801
1/20/13,1133
1/20/13,2324
1/20/13,697
1/20/13,1233
1/20/13,2294
1/20/13,1582
1/20/13,924
1/20/13,1020
1/20/13,1061
1/20/13,4732
1/20/13,4169
1/20/13,4696
1/20/13,4877
1/20/13,4044
1/20/13,2536
1/20/13,3195
1/20/13,1756
1/20/13,1178
1/21/13,1770
1/21/13,1864
1/21/13,2930
1/21/13,1458
1/21/13,1506
1/21/13,1602
1/21/13,1649
1/21/13,2688
1/21/13,2149
1/21/13,1200
1/21/13,2200
1/21/13,1156
1/21/13,864
1/21/13,1934
1/21/13,1439
1/21/13,1000
1/21/13,1310
1/21/13,1306
1/21/13,1158
1/21/13,1161
1/21/13,2391
1/21/13,754
1/21/13,730
1/21/13,1018
1/21/13,708
1/21/13,692
1/21/13,1184
1/21/13,667
1/21/13,1046
1/21/13,2379
1/21/13,509
1/21/13,1370
1/21/13,1414
1/21/13,1325
1/21/13,1169
1/21/13,715
1/21/13,1124
1/21/13,3508
1/21/13,3134
1/21/13,3186
1/21/13,3335
1/21/13,2428
1/21/13,1557
1/21/13,2227
1/21/13,1548
1/21/13,788
1/22/13,1762
1/22/13,1794
1/22/13,2721
1/22/13,1285
1/22/13,1459
1/22/13,1584
1/22/13,1583
1/22/13,2491
1/22/13,1949
1/22/13,1109
1/22/13,2128
1/22/13,1145
1/22/13,903
1/22/13,1558
1/22/13,1270
1/22/13,933
1/22/13,1310
1/22/13,1362
1/22/13,1017
1/22/13,1085
1/22/13,2293
1/22/13,692
1/22/13,690
1/22/13,969
1/22/13,819
1/22/13,752
1/22/13,1185
1/22/13,668
1/22/13,1096
1/22/13,2221
1/22/13,627
1/22/13,1299
1/22/13,1317
1/22/13,1258
1/22/13,1017
1/22/13,646
1/22/13,1055
1/22/13,3349
1/22/13,2759
1/22/13,2786
1/22/13,2973
1/22/13,2130
1/22/13,1500
1/22/13,2182
1/22/13,1489
1/22/13,768
1/23/13,1873
1/23/13,1951
1/23/13,2911
1/23/13,1465
1/23/13,1461
1/23/13,1740
1/23/13,1657
1/23/13,2625
1/23/13,1741
1/23/13,1023
1/23/13,2063
1/23/13,1142
1/23/13,797
1/23/13,1490
1/23/13,1245
1/23/13,908
1/23/13,1082
1/23/13,1231
1/23/13,1078
1/23/13,1178
1/23/13,2501
1/23/13,795
1/23/13,681
1/23/13,1034
1/23/13,674
1/23/13,655
1/23/13,952
1/23/13,565
1/23/13,1011
1/23/13,2071
1/23/13,538
1/23/13,1437
1/23/13,1495
1/23/13,1094
1/23/13,886
1/23/13,722
1/23/13,1019
1/23/13,3704
1/23/13,2872
1/23/13,2901
1/23/13,3207
1/23/13,2179
1/23/13,1606
1/23/13,2186
1/23/13,1683
1/23/13,690
1/24/13,1616
1/24/13,1691
1/24/13,2503
1/24/13,1245
1/24/13,1319
1/24/13,1432
1/24/13,1523
1/24/13,2482
1/24/13,1730
1/24/13,883
1/24/13,2004
1/24/13,1057
1/24/13,746
1/24/13,1456
1/24/13,1178
1/24/13,857
1/24/13,990
1/24/13,1222
1/24/13,861
1/24/13,1056
1/24/13,2275
1/24/13,691
1/24/13,660
1/24/13,976
1/24/13,701
1/24/13,682
1/24/13,1067
1/24/13,680
1/24/13,862
1/24/13,2043
1/24/13,511
1/24/13,1245
1/24/13,1224
1/24/13,1072
1/24/13,923
1/24/13,693
1/24/13,970
1/24/13,3121
1/24/13,2592
1/24/13,2623
1/24/13,2738
1/24/13,1972
1/24/13,1468
1/24/13,2011
1/24/13,1437
1/24/13,617
1/25/13,1770
1/25/13,1949
1/25/13,2943
1/25/13,1498
1/25/13,1447
1/25/13,1620
1/25/13,1758
1/25/13,2748
1/25/13,1710
1/25/13,938
1/25/13,2029
1/25/13,1043
1/25/13,780
1/25/13,1405
1/25/13,1189
1/25/13,890
1/25/13,1043
1/25/13,1190
1/25/13,944
1/25/13,1144
1/25/13,2586
1/25/13,1041
1/25/13,694
1/25/13,1003
1/25/13,676
1/25/13,711
1/25/13,1067
1/25/13,679
1/25/13,815
1/25/13,2472
1/25/13,584
1/25/13,1500
1/25/13,1473
1/25/13,1090
1/25/13,892
1/25/13,750
1/25/13,1286
1/25/13,3751
1/25/13,3172
1/25/13,3109
1/25/13,3213
1/25/13,2262
1/25/13,1805
1/25/13,2264
1/25/13,1709
1/25/13,631
1/26/13,1295
1/26/13,1993
1/26/13,3394
1/26/13,1750
1/26/13,1540
1/26/13,2026
1/26/13,1606
1/26/13,2854
1/26/13,2304
1/26/13,1393
1/26/13,2361
1/26/13,1274
1/26/13,1196
1/26/13,1969
1/26/13,1390
1/26/13,1105
1/26/13,1557
1/26/13,1296
1/26/13,1646
1/26/13,1203
1/26/13,2358
1/26/13,1635
1/26/13,862
1/26/13,1341
1/26/13,963
1/26/13,751
1/26/13,1313
1/26/13,867
1/26/13,949
1/26/13,2715
1/26/13,752
1/26/13,1477
1/26/13,2280
1/26/13,1637
1/26/13,1055
1/26/13,978
1/26/13,1147
1/26/13,4812
1/26/13,4168
1/26/13,4364
1/26/13,4363
1/26/13,3628
1/26/13,2503
1/26/13,3221
1/26/13,1814
1/26/13,917
1/27/13,542
1/27/13,1937
1/27/13,3355
1/27/13,1799
1/27/13,1412
1/27/13,2101
1/27/13,1299
1/27/13,2715
1/27/13,2226
1/27/13,1155
1/27/13,2539
1/27/13,1190
1/27/13,901
1/27/13,1266
1/27/13,1078
1/27/13,1180
1/27/13,1372
1/27/13,1387
1/27/13,1266
1/27/13,1107
1/27/13,1813
1/27/13,845
1/27/13,890
1/27/13,1534
1/27/13,1131
1/27/13,622
1/27/13,1204
1/27/13,702
1/27/13,1165
1/27/13,2381
1/27/13,650
1/27/13,1204
1/27/13,2331
1/27/13,1603
1/27/13,954
1/27/13,1126
1/27/13,982
1/27/13,4648
1/27/13,4131
1/27/13,4494
1/27/13,4641
1/27/13,3977
1/27/13,2413
1/27/13,3117
1/27/13,1707
1/27/13,1212
1/28/13,1738
1/28/13,1782
1/28/13,2681
1/28/13,1423
1/28/13,1451
1/28/13,1608
1/28/13,1588
1/28/13,2622
1/28/13,1859
1/28/13,1217
1/28/13,2003
1/28/13,1180
1/28/13,923
1/28/13,1597
1/28/13,1356
1/28/13,1004
1/28/13,1231
1/28/13,1298
1/28/13,1120
1/28/13,1135
1/28/13,2379
1/28/13,714
1/28/13,702
1/28/13,1052
1/28/13,755
1/28/13,680
1/28/13,1123
1/28/13,706
1/28/13,1141
1/28/13,2345
1/28/13,627
1/28/13,1368
1/28/13,1350
1/28/13,1228
1/28/13,1048
1/28/13,740
1/28/13,1136
1/28/13,3392
1/28/13,2872
1/28/13,2797
1/28/13,3150
1/28/13,2308
1/28/13,1507
1/28/13,2110
1/28/13,1522
1/28/13,821
1/29/13,1772
1/29/13,1794
1/29/13,2630
1/29/13,1327
1/29/13,1340
1/29/13,1447
1/29/13,1611
1/29/13,2545
1/29/13,1855
1/29/13,1170
1/29/13,2095
1/29/13,1177
1/29/13,884
1/29/13,1555
1/29/13,1343
1/29/13,995
1/29/13,1266
1/29/13,1380
1/29/13,1028
1/29/13,1139
1/29/13,2261
1/29/13,664
1/29/13,704
1/29/13,931
1/29/13,815
1/29/13,763
1/29/13,1120
1/29/13,656
1/29/13,1049
1/29/13,2306
1/29/13,542
1/29/13,1273
1/29/13,1337
1/29/13,1196
1/29/13,1040
1/29/13,680
1/29/13,1084
1/29/13,3317
1/29/13,2867
1/29/13,2723
1/29/13,2939
1/29/13,2134
1/29/13,1516
1/29/13,1998
1/29/13,1438
1/29/13,729
1/30/13,1877
1/30/13,2051
1/30/13,3035
1/30/13,1536
1/30/13,1422
1/30/13,1636
1/30/13,1698
1/30/13,2799
1/30/13,1804
1/30/13,1049
1/30/13,2031
1/30/13,1150
1/30/13,762
1/30/13,1320
1/30/13,1232
1/30/13,885
1/30/13,1108
1/30/13,1269
1/30/13,1095
1/30/13,1197
1/30/13,2480
1/30/13,868
1/30/13,748
1/30/13,1057
1/30/13,710
1/30/13,684
1/30/13,1058
1/30/13,575
1/30/13,957
1/30/13,2042
1/30/13,507
1/30/13,1467
1/30/13,1424
1/30/13,1166
1/30/13,952
1/30/13,693
1/30/13,1055
1/30/13,3852
1/30/13,3022
1/30/13,3005
1/30/13,3258
1/30/13,2207
1/30/13,1619
1/30/13,2130
1/30/13,1704
1/30/13,692
1/31/13,1707
1/31/13,1867
1/31/13,2790
1/31/13,1286
1/31/13,1447
1/31/13,1558
1/31/13,1724
1/31/13,2605
1/31/13,2009
1/31/13,1068
1/31/13,2177
1/31/13,1086
1/31/13,845
1/31/13,1435
1/31/13,1234
1/31/13,886
1/31/13,1093
1/31/13,1322
1/31/13,962
1/31/13,1139
1/31/13,2316
1/31/13,714
1/31/13,776
1/31/13,957
1/31/13,823
1/31/13,698
1/31/13,1159
1/31/13,720
1/31/13,1009
1/31/13,2258
1/31/13,596
1/31/13,1413
1/31/13,1442
1/31/13,1218
1/31/13,911
1/31/13,728
1/31/13,1047
1/31/13,3509
1/31/13,3002
1/31/13,3042
1/31/13,3294
1/31/13,2432
1/31/13,1573
1/31/13,2153
1/31/13,1524
1/31/13,714
2/1/13,1806
2/1/13,1977
2/1/13,3230
2/1/13,1520
2/1/13,1564
2/1/13,1689
2/1/13,1935
2/1/13,2887
2/1/13,2031
2/1/13,1085
2/1/13,2476
2/1/13,1152
2/1/13,897
2/1/13,1414
2/1/13,1196
2/1/13,909
2/1/13,1143
2/1/13,1234
2/1/13,1084
2/1/13,1125
2/1/13,2562
2/1/13,1151
2/1/13,894
2/1/13,1051
2/1/13,829
2/1/13,714
2/1/13,1098
2/1/13,749
2/1/13,933
2/1/13,2747
2/1/13,757
2/1/13,1611
2/1/13,1607
2/1/13,1359
2/1/13,998
2/1/13,751
2/1/13,1499
2/1/13,4064
2/1/13,3488
2/1/13,3521
2/1/13,3720
2/1/13,2911
2/1/13,1872
2/1/13,2465
2/1/13,1880
2/1/13,717
2/2/13,1377
2/2/13,2154
2/2/13,3648
2/2/13,1851
2/2/13,1782
2/2/13,2256
2/2/13,1681
2/2/13,3061
2/2/13,2718
2/2/13,1453
2/2/13,3180
2/2/13,1263
2/2/13,1269
2/2/13,2077
2/2/13,1484
2/2/13,1268
2/2/13,1627
2/2/13,1377
2/2/13,1801
2/2/13,1186
2/2/13,2758
2/2/13,1882
2/2/13,1322
2/2/13,1453
2/2/13,1079
2/2/13,859
2/2/13,1625
2/2/13,960
2/2/13,1345
2/2/13,2877
2/2/13,1019
2/2/13,1654
2/2/13,2414
2/2/13,1805
2/2/13,1182
2/2/13,1058
2/2/13,1306
2/2/13,5166
2/2/13,4328
2/2/13,4902
2/2/13,5021
2/2/13,4118
2/2/13,2493
2/2/13,3216
2/2/13,1942
2/2/13,1050
2/3/13,531
2/3/13,1884
2/3/13,3391
2/3/13,1777
2/3/13,1477
2/3/13,2152
2/3/13,1304
2/3/13,2624
2/3/13,2516
2/3/13,1166
2/3/13,2882
2/3/13,1182
2/3/13,933
2/3/13,1212
2/3/13,1010
2/3/13,1274
2/3/13,1369
2/3/13,1326
2/3/13,1106
2/3/13,1104
2/3/13,2019
2/3/13,1058
2/3/13,1171
2/3/13,1604
2/3/13,1241
2/3/13,653
2/3/13,1470
2/3/13,812
2/3/13,1270
2/3/13,2593
2/3/13,856
2/3/13,1180
2/3/13,2281
2/3/13,1591
2/3/13,1035
2/3/13,1204
2/3/13,1112
2/3/13,4736
2/3/13,4198
2/3/13,4794
2/3/13,4935
2/3/13,4193
2/3/13,2590
2/3/13,3216
2/3/13,1798
2/3/13,1196
2/4/13,1714
2/4/13,1704
2/4/13,2779
2/4/13,1267
2/4/13,1615
2/4/13,1590
2/4/13,1504
2/4/13,2587
2/4/13,2304
2/4/13,1127
2/4/13,2439
2/4/13,1182
2/4/13,951
2/4/13,1693
2/4/13,1379
2/4/13,1079
2/4/13,1158
2/4/13,1224
2/4/13,1249
2/4/13,1157
2/4/13,2308
2/4/13,930
2/4/13,707
2/4/13,1074
2/4/13,744
2/4/13,663
2/4/13,1319
2/4/13,765
2/4/13,1177
2/4/13,2507
2/4/13,749
2/4/13,1318
2/4/13,1507
2/4/13,1309
2/4/13,1179
2/4/13,826
2/4/13,1206
2/4/13,3459
2/4/13,3305
2/4/13,3382
2/4/13,3749
2/4/13,2840
2/4/13,1710
2/4/13,2521
2/4/13,1545
2/4/13,829
2/5/13,1775
2/5/13,1796
2/5/13,2804
2/5/13,1417
2/5/13,1524
2/5/13,1538
2/5/13,1635
2/5/13,2624
2/5/13,2276
2/5/13,1362
2/5/13,2790
2/5/13,1183
2/5/13,940
2/5/13,1642
2/5/13,1330
2/5/13,945
2/5/13,1374
2/5/13,1422
2/5/13,1277
2/5/13,1146
2/5/13,2425
2/5/13,874
2/5/13,791
2/5/13,978
2/5/13,887
2/5/13,722
2/5/13,1175
2/5/13,703
